# wavelength(Angstorms), SED (Lsun/Angstorms)
963800.00,12.35
972700.00,12.12
981700.00,11.86
990800.00,11.65
1000000.00,11.43
1009000.00,11.22
1019000.00,11.00
1028000.00,10.81
1038000.00,10.60
1047000.00,10.42
1057000.00,10.23
1067000.00,10.04
1076000.00,9.85
1086000.00,9.66
1096000.00,9.48
1107000.00,9.29
1117000.00,9.12
1127000.00,8.96
1138000.00,8.78
1148000.00,8.63
1159000.00,8.47
1169000.00,8.32
1180000.00,8.17
1191000.00,8.02
1202000.00,7.87
1213000.00,7.72
1225000.00,7.55
1236000.00,7.42
1247000.00,7.28
1259000.00,7.14
1271000.00,7.01
1282000.00,6.89
1294000.00,6.76
1306000.00,6.63
1318000.00,6.51
1330000.00,6.37
1343000.00,6.25
1355000.00,6.14
1368000.00,6.02
1380000.00,5.92
1393000.00,5.81
1406000.00,5.70
1419000.00,5.59
1432000.00,5.49
1445000.00,5.38
1459000.00,5.28
1472000.00,5.18
1486000.00,5.08
1500000.00,4.99
1514000.00,4.89
1528000.00,4.80
1542000.00,4.71
1556000.00,4.62
1570000.00,4.54
1585000.00,4.45
1600000.00,4.37
1614000.00,4.30
1629000.00,4.22
1644000.00,4.12
1660000.00,4.04
1675000.00,3.97
1690000.00,3.90
1706000.00,3.83
1722000.00,3.76
1738000.00,3.68
1754000.00,3.61
1770000.00,3.55
1786000.00,3.48
1803000.00,3.42
1820000.00,3.35
1837000.00,3.28
1854000.00,3.22
1871000.00,3.17
1888000.00,3.11
1905000.00,3.05
1923000.00,3.00
1941000.00,2.93
1959000.00,2.88
1977000.00,2.83
1995000.00,2.78
2014000.00,2.73
2032000.00,2.68
2051000.00,2.62
2070000.00,2.57
2089000.00,2.52
2109000.00,2.48
2128000.00,2.43
2148000.00,2.39
2168000.00,2.34
2188000.00,2.29
2208000.00,2.25
2228000.00,2.21
2249000.00,2.17
2270000.00,2.13
2291000.00,2.09
2312000.00,2.05
2333000.00,2.01
2355000.00,1.98
2377000.00,1.94
2399000.00,1.91
2421000.00,1.87
2443000.00,1.83
2466000.00,1.80
2489000.00,1.76
2512000.00,1.73
2535000.00,1.70
2559000.00,1.67
2582000.00,1.64
2606000.00,1.61
2630000.00,1.58
2655000.00,1.55
2679000.00,1.52
2704000.00,1.49
2729000.00,1.46
2754000.00,1.44
2780000.00,1.41
2805000.00,1.38
2831000.00,1.36
2858000.00,1.33
2884000.00,1.31
2911000.00,1.28
2938000.00,1.26
2965000.00,1.24
2992000.00,1.22
3020000.00,1.19
3048000.00,1.17
3076000.00,1.15
3105000.00,1.13
3133000.00,1.11
3162000.00,1.09
3192000.00,1.06
3221000.00,1.05
3251000.00,1.03
3281000.00,1.01
3311000.00,0.99
3342000.00,0.97
3373000.00,0.95
3404000.00,0.94
3436000.00,0.92
3467000.00,0.90
3499000.00,0.89
3532000.00,0.87
3565000.00,0.85
3597000.00,0.84
3631000.00,0.82
3664000.00,0.81
3698000.00,0.79
3733000.00,0.78
3767000.00,0.76
3802000.00,0.75
3837000.00,0.74
3873000.00,0.72
3908000.00,0.71
3945000.00,0.70
3981000.00,0.68
4018000.00,0.67
4055000.00,0.66
4093000.00,0.65
4130000.00,0.63
4169000.00,0.62
4207000.00,0.61
4246000.00,0.60
4285000.00,0.59
4325000.00,0.58
4365000.00,0.57
4406000.00,0.56
4446000.00,0.55
4487000.00,0.54
4529000.00,0.53
4571000.00,0.52
4613000.00,0.51
4656000.00,0.50
4699000.00,0.49
4742000.00,0.48
4786000.00,0.47
4831000.00,0.46
4875000.00,0.45
4920000.00,0.44
4966000.00,0.44
5012000.00,0.43
5058000.00,0.42
5105000.00,0.41
5152000.00,0.41
5200000.00,0.40
5248000.00,0.39
5297000.00,0.38
5346000.00,0.38
5395000.00,0.37
5445000.00,0.36
5495000.00,0.36
5546000.00,0.35
5598000.00,0.34
5649000.00,0.34
5702000.00,0.33
5754000.00,0.33
5808000.00,0.32
5861000.00,0.31
5916000.00,0.31
5970000.00,0.30
6026000.00,0.30
6081000.00,0.29
6138000.00,0.29
6194000.00,0.28
6252000.00,0.28
6310000.00,0.27
6368000.00,0.27
6427000.00,0.26
6486000.00,0.25
6546000.00,0.25
6607000.00,0.25
6668000.00,0.24
6730000.00,0.24
6792000.00,0.23
6855000.00,0.23
6918000.00,0.22
6982000.00,0.22
7047000.00,0.22
7112000.00,0.21
7178000.00,0.21
7244000.00,0.20
7311000.00,0.20
7379000.00,0.20
7447000.00,0.19
7516000.00,0.19
7586000.00,0.19
7656000.00,0.18
7727000.00,0.18
7798000.00,0.18
7870000.00,0.17
7943000.00,0.17
8017000.00,0.17
8091000.00,0.16
8166000.00,0.16
8241000.00,0.16
8318000.00,0.16
8395000.00,0.15
8472000.00,0.15
8551000.00,0.15
8630000.00,0.14
8710000.00,0.14
8790000.00,0.14
8872000.00,0.14
8954000.00,0.13
9036000.00,0.13
9120000.00,0.13
9204000.00,0.13
9290000.00,0.12
9376000.00,0.12
9462000.00,0.12
9550000.00,0.12
9638000.00,0.12
9727000.00,0.11
9817000.00,0.11
9908000.00,0.11
10000000.00,0.11
10090000.00,0.11
10190000.00,0.10
10280000.00,0.10
10380000.00,0.10
10470000.00,0.10
10570000.00,0.10
10670000.00,0.09
10760000.00,0.09
10860000.00,0.09
10960000.00,0.09
11070000.00,0.09
11170000.00,0.09
11270000.00,0.08
11380000.00,0.08
11480000.00,0.08
11590000.00,0.08
11690000.00,0.08
11800000.00,0.08
11910000.00,0.08
12020000.00,0.07
12130000.00,0.07
12250000.00,0.07
12360000.00,0.07
12470000.00,0.07
12590000.00,0.07
12710000.00,0.07
12820000.00,0.07
12940000.00,0.06
13060000.00,0.06
13180000.00,0.06
13300000.00,0.06
13430000.00,0.06
13550000.00,0.06
13680000.00,0.06
13800000.00,0.06
13930000.00,0.06
14060000.00,0.05
14190000.00,0.05
14320000.00,0.05
14450000.00,0.05
14590000.00,0.05
14720000.00,0.05
14860000.00,0.05
15000000.00,0.05
15140000.00,0.05
15280000.00,0.05
15420000.00,0.05
15560000.00,0.04
15700000.00,0.04
15850000.00,0.04
16000000.00,0.04
16140000.00,0.04
16290000.00,0.04
16440000.00,0.04
16600000.00,0.04
16750000.00,0.04
16900000.00,0.04
17060000.00,0.04
17220000.00,0.04
17380000.00,0.04
17540000.00,0.03
17700000.00,0.03
17860000.00,0.03
18030000.00,0.03
18200000.00,0.03
18370000.00,0.03
18540000.00,0.03
18710000.00,0.03
18880000.00,0.03
19050000.00,0.03
19230000.00,0.03
19410000.00,0.03
19590000.00,0.03
19770000.00,0.03
19950000.00,0.03
20140000.00,0.03
20320000.00,0.03
20510000.00,0.03
20700000.00,0.02
20890000.00,0.02
21090000.00,0.02
21280000.00,0.02
21480000.00,0.02
21680000.00,0.02
21880000.00,0.02
22080000.00,0.02
22280000.00,0.02
22490000.00,0.02
22700000.00,0.02
22910000.00,0.02
23120000.00,0.02
23330000.00,0.02
23550000.00,0.02
23770000.00,0.02
23990000.00,0.02
24210000.00,0.02
24430000.00,0.02
24660000.00,0.02
24890000.00,0.02
25120000.00,0.02
25350000.00,0.02
25590000.00,0.02
25820000.00,0.02
26060000.00,0.02
26300000.00,0.02
26550000.00,0.02
26790000.00,0.01
27040000.00,0.01
27290000.00,0.01
27540000.00,0.01
27800000.00,0.01
28050000.00,0.01
28310000.00,0.01
28580000.00,0.01
28840000.00,0.01
29110000.00,0.01
29380000.00,0.01
29650000.00,0.01
29920000.00,0.01
30200000.00,0.01
30480000.00,0.01
30760000.00,0.01
31050000.00,0.01
31330000.00,0.01
31620000.00,0.01
31920000.00,0.01
32210000.00,0.01
32510000.00,0.01
32810000.00,0.01
33110000.00,0.01
33420000.00,0.01
33730000.00,0.01
34040000.00,0.01
34360000.00,0.01
34670000.00,0.01
34990000.00,0.01
35320000.00,0.01
35650000.00,0.01
35970000.00,0.01
36310000.00,0.01
36640000.00,0.01
36980000.00,0.01
37330000.00,0.01
37670000.00,0.01
38020000.00,0.01
38370000.00,0.01
38730000.00,0.01
39080000.00,0.01
39450000.00,0.01
39810000.00,0.01
40180000.00,0.01
40550000.00,0.01
40930000.00,0.01
41300000.00,0.01
41690000.00,0.01
42070000.00,0.01
42460000.00,0.01
42850000.00,0.01
43250000.00,0.01
43650000.00,0.01
44060000.00,0.01
44460000.00,0.01
44870000.00,0.01
45290000.00,0.01
45710000.00,0.01
46130000.00,0.01
46560000.00,0.00
46990000.00,0.00
47420000.00,0.00
47860000.00,0.00
48310000.00,0.00
48750000.00,0.00
49200000.00,0.00
49660000.00,0.00
50120000.00,0.00
50580000.00,0.00
51050000.00,0.00
51520000.00,0.00
52000000.00,0.00
52480000.00,0.00
52970000.00,0.00
53460000.00,0.00
53950000.00,0.00
54450000.00,0.00
54950000.00,0.00
55460000.00,0.00
55980000.00,0.00
56490000.00,0.00
57020000.00,0.00
57540000.00,0.00
58080000.00,0.00
58610000.00,0.00
59160000.00,0.00
59700000.00,0.00
60260000.00,0.00
60810000.00,0.00
61380000.00,0.00
61940000.00,0.00
62520000.00,0.00
63100000.00,0.00
63680000.00,0.00
64270000.00,0.00
64860000.00,0.00
65460000.00,0.00
66070000.00,0.00
66680000.00,0.00
67300000.00,0.00
67920000.00,0.00
68550000.00,0.00
69180000.00,0.00
69820000.00,0.00
70470000.00,0.00
71120000.00,0.00
71780000.00,0.00
72440000.00,0.00
73110000.00,0.00
73790000.00,0.00
74470000.00,0.00
75160000.00,0.00
75860000.00,0.00
76560000.00,0.00
77270000.00,0.00
77980000.00,0.00
78700000.00,0.00
79430000.00,0.00
80170000.00,0.00
80910000.00,0.00
81660000.00,0.00
82410000.00,0.00
83180000.00,0.00
83950000.00,0.00
84720000.00,0.00
85510000.00,0.00
86300000.00,0.00
87100000.00,0.00
87900000.00,0.00
88720000.00,0.00
89540000.00,0.00
90360000.00,0.00
91200000.00,0.00
92040000.00,0.00
92900000.00,0.00
93760000.00,0.00
94620000.00,0.00
95500000.00,0.00
96380000.00,0.00
97270000.00,0.00
98170000.00,0.00
99080000.00,0.00
100000000.00,0.00
